topik,jawaban
Akademik ; Bebas Pustaka UB,"Terimakasih telah menghubungi halo filkom,Surat bebas pustaka UB :https://lib.ub.ac.id/berita/panduan-pengurusan-bebas-pustaka-online/https://lib.ub.ac.id/berita/panduan-pengurusan-bebas-pustaka-online/ Terimakasih"
Akademik _ Batas akhir pendaftaran semhas/ ujian skripsi,"23 12 2021, pkl 23.59Mahasiswa memastikan bahwa sudah mendaftar pada form (https://filkom.ub.ac.id/pendidikan/layanan-akademik/https://filkom.ub.ac.id/pendidikan/layanan-akademik/ poin no 15) dan filkom apps sesuai pada halaman penjadwalan filkom apps Terimakasih"
Akademik_Bebas tanggungan Laboratorium FILKOM UB,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan link pengumuman bebas laboratorium filkom UB :https://filkom.ub.ac.id/2021/08/09/pengurusan-bebas-tanggungan-laboratorium-untuk-persyaratan-yudisium-sc2-18/https://filkom.ub.ac.id/2021/08/09/pengurusan-bebas-tanggungan-laboratorium-untuk-persyaratan-yudisium-sc2-18/ Terimakasih"
Akademik Form Pasca Ujian Skripsi,"Terimakasih telah menghubungi halo filkom,Ujian skripsi yg Anda laksanakan hari ini (28 12 2021) sudah diproses oleh majlis penguji :- form sc2-12 dan sc2-13 sudah bisa di download di akun masing2 mhs-sc2-16 &amp; sc2-17 (ttd scr daring) bisa diakses/ download setelah mhs unggah dokumen akhir dan disetujui oleh dosen  Terimakasih"
Akademik_ PKL / MBKM,"Terimakasih telah menghubungi halo filkom,Info magang bisa cek web merdeka-filkom.ub.ac.id atau web mbkm kemendikbud.Prosedur PKL silahkan mencari tempat PKL terlebih dahulu kemudian mendaftar untuk diterbitkan surat pengantar melalui web filkom tab layanan akademik.Secara prinsip mahasiswa semester 6 ke atas punya hak untuk ikut mbkm, mhs diharap memastikan terlebih dahulu MK wajib sudah selesai ditempuh Terimakasih"
Keuangan - Yudisium,Saat ini sedang proses sinkronisasi untuk memproyeksikan mahasiswa yang dapat mendaftar Yudisium maksimal tanggal 11 Januari 2022 untuk penentuan ditagihkan atau tidaknya UKT di Semester Genap 2021/2022
Akademik ; Pendaftaran Yudisium Filkom UB,"Terimakasih telah menghubungi Halo Filkom, Berikut kami kirimkan link prosedur pendaftaran yudisium Filkom :https://filkom.ub.ac.id/pendidikan/prosedur-pelayanan-akademik/yudisium/https://filkom.ub.ac.id/pendidikan/prosedur-pelayanan-akademik/yudisium/ Terimakasih"
Akademik; Toefl,"Terimakasih telah menghubungi halo filkom,Silahkan bisa menyesuaikan dengan link berikut https://blc.ub.ac.id/"" target=""_blankhttps://blc.ub.ac.id/ Terimakasih"
Keuangan: Permasalahan sibaku,Terkait dengan permasalahan pada sistem Informasi Sibaku silahkan sampaikan pada https://helpdesk-tik.ub.ac.id/https://helpdesk-tik.ub.ac.id/ dikarenakan sistem tersebut sepenuhnya di operasikan oleh Universitas.
Akademik ; Perkuliahan Hybrid,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan pengumuman universitas dan fakultas :https://filkom.ub.ac.id/2022/01/19/perkuliahan-semester-genap-tahun-akademik-2021-2022-di-fakultas-ilmu-komputer-universitas-awijaya/https://filkom.ub.ac.id/2022/01/19/perkuliahan-semester-genap-tahun-akademik-2021-2022-di-fakultas-ilmu-komputer-universitas-awijaya/pendataan fakultas : https://filkom.ub.ac.id/2022/01/21/pengumuman-pendataan-mahasiswa-mengikuti-perkuliahan-tatap-muka/https://filkom.ub.ac.id/2022/01/21/pengumuman-pendataan-mahasiswa-mengikuti-perkuliahan-tatap-muka/Mahasiswa jika tidak mengisi maka dianggap menyetujui perkuliahan Daring bukan Luring Terimakasih"
Akademik ; Mahasiswa Kritis sudah Ujian - status DO,"Terimakasih telah menghubungi halo filkom,Status DO (mahasiswa kritis) saat ini dikarenakan belum mendaftar yudisium dan masa studi telah habis, akan kami bantu untuk pengajuan perubahan ke pusat dengan syarat mahasiswa segera mengajukan yudisium sesuai ketentuan yang ada (filkom apps dan SIAM)SK yudisium akan diajukan kepada keuangan oleh bag akademik untuk pembebasan keuangan pada smt berikutnya (jk telah dianggap mendaftar yudisium pada smt sebelumnya) Terimakasih"
Akademik ; UKT mhs Ujian skripsi belum yudisium (selain kritis),"Terimakasih telah menghubungi halo filkom,Status Anda per hari ini adalah selesai ujian, belum mendaftar yudisium apps, segera lakukan pendaftaran pada filkom apps jika telah selesai revisi.Proses tagihan pada SIAM bagi mahasiswa 2015 yg belum mendaftar yudisium pada waktu yg telah ditentukan diberlakukan sesuai edaran Rektor no 7078 atau 5287.1 yaitu 50%Berikut kami kirimkan link https://ub.ac.id/id/edaran-mengenai-kebijakan-uang-kuliah-tunggal/https://ub.ac.id/id/edaran-mengenai-kebijakan-uang-kuliah-tunggal/ Terimakasih"
Akademik_Link Data Uji,"Terimakasih telah menghubungi halo filkom,Yang dimaksud adalah Link folder drive dari mahasiswa terkait file unggah data pengujian/ perancangan skripsinya, biasanya pada bab 5-6 kondisional tergantung skripsinya juga Terimakasih"
Akademik ; Batas SKS Beban Mhs,"<figure>cid:x5ntb0nyinevlh1v7auazrqa3zx92oka"" data-image=""X5nTB0Nyinevlh1v7auAzrqA3zx92OkAimage</figure>"
Akademik ; Batas konversi Nilai ke Huruf,"<figure>cid:rnodgycown0bnec82rianm2_ppcajnim"" data-image=""RNoDgYcOWN0BnEc82RIANM2_PpcAjNIMimage</figure>"
Akademik ; Bantuan UKT,Untuk permohonan pengurangan UKT dilakukan melalui satu pintu pada sibaku.ub.ac.id dan dikarenakan sibaku telah ditutup Saudara disilahkan mengajukan pengurangan UKT di semester berikutnya. Sedangkan untuk pengajuan angsuran disilahkan mengajukan permohonan tertulis ditujukan kepada Wakil Dekan II FILKOM UB. Untuk surat permohonan berupa surat pribadi dan tidak ada format khusus. Silahkan diajukan dengan format rapi dan sopan dan dikirim via halo filkom dengan nomor tiket yang sama.
Akademik ; FAQ Perkuliahan Hybrid Filkom UB,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan FAQ Perkuliahan Filkom UBhttps://filkom.ub.ac.id/2022/01/24/faq-seputar-penyelenggaraan-perkuliahan-hyid-filkom-di-semester-genap-2021-2022/https://filkom.ub.ac.id/2022/01/24/faq-seputar-penyelenggaraan-perkuliahan-hyid-filkom-di-semester-genap-2021-2022/ Terimakasih"
Akademik ; Daftar Ulang,"Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan Prosedur Daftar Ulang Mahasiswa smt Genap 2021/2022https://filkom.ub.ac.id/2022/01/20/prosedur-daftar-ulang-mahasiswa-semester-genap-ta-2021-2022-filkom-ub/https://filkom.ub.ac.id/2022/01/20/prosedur-daftar-ulang-mahasiswa-semester-genap-ta-2021-2022-filkom-ub/ Terimakasih"
Kemahasiswaan - Kuliah Hybrid,FAQ Seputar Penyelenggaraan Perkuliahan Hyid FILKOM di Semester Genap TA. 2021/2022 dapat diakses di tautan berikut https://filkom.ub.ac.id/2022/01/24/faq-seputar-penyelenggaraan-perkuliahan-hyid-filkom-di-semester-genap-2021-2022/https://filkom.ub.ac.id/2022/01/24/faq-seputar-penyelenggaraan-perkuliahan-hyid-filkom-di-semester-genap-2021-2022/ Informasi Pengumuman Pendataan Mahasiswa Mengikuti Perkuliahan Tatap Muka dapat diakses di tautan berikut https://filkom.ub.ac.id/2022/01/21/pengumuman-pendataan-mahasiswa-mengikuti-perkuliahan-tatap-muka/https://filkom.ub.ac.id/2022/01/21/pengumuman-pendataan-mahasiswa-mengikuti-perkuliahan-tatap-muka/ Terima kasih
Akademik ; Permohonan perpanjangan mahasiswa DO diluar skripsi,"Sesuai arahan dari Wakil Dekan Bidang Akademik, mahasiswa bisa mencoba mengisi form berikut serta meminta persetujuan rekomendasi dari KPS Catatan pada bagian bawah form harap dicermati dengan teliti Surat diisi oleh mahasiswa, dan ditandatangani oleh orang tua, mahasiswa, dan meminta juga tanda tangan ketua program studi lalu mengumpulkan melalui Google Form atau dikirimkan ke email mailto:filkom@ub.ac.id"" target=""_blank filkom@ub.ac.id File disimpan dengan nama file: perpanjangan-prodi-nim dalam format dokumen atau PDF (Kode Prodi: TIF / TKOM / SI / TI / PTI / ILKOM"
Akademik ; Perkuliahan Hybrid wajib hadir,"Sesuai arahan dari WD1, semua perkuliahan secara dasar ya harus datang dan offline, pandemi yang menjadi dasar untuk tdk luring, akan tetapi jika pandemi mulai bisa dinetralisir maka kewajiban mahasiswa ya harus datang.Kalau masih keberatan maka mahasiswa diminta membuat surat keberatan dan bukti dukung tidak bisa luring Terimakasih"
Akademik : Pendataan Kelas Penuh,"Pendataan kelas penuh : https://filkom.ub.ac.id/2022/01/30/pendataan-kelas-penuh-semester-genap-2021-2022/"" target=""_blankhttps://filkom.ub.ac.id/2022/01/30/pendataan-kelas-penuh-semester-genap-2021-2022/ Terima Kasih"
Akademik Validasi KRS JTIF terlambat,"Sesuai arahan pimpinan JTIF, mahasiswa diharap mengajukan ttd kepada dosen PA serta diajukan pada Form di bawah ini.Berikut kami kirimkan pengajuan validasi KRS mahasiswa AKTIF yang terlambat https://s.ub.ac.id/validasikrsjtifterlambathttps://s.ub.ac.id/validasikrsjtifterlambat Terimakasih"
Akademik ; Ijazah,"Terimakasih telah menghubungi halo filkom,Progres ijazah bisa diakses di https://bit.ly/3rBYWFn"" target=""_blank http://bit.ly/3rBY Fn Mekanisme pengambilan bisa mengisi link berikut https://forms.gle/TzvYW6iXW2pRM8Ly7"" target=""_blankhttps://forms.gle/TzvI W6iXW2pRM8Ly 7 Terimakasih "
Akademik ; Legalisir Ijazah,"Terimakasih telah menghubungi halo filkom,Legalisir ijazah ; https://bit.ly/LegalisirFilkom"" target=""_blank http://bit.ly/Legalisir Filkom Terima Kasih"
Akademik List Dosen Minat Skripsi,Berikut kami sampaikan nama dosen sesuai minat yang ada pada FILKOM UB (wajib menggunakan email UB/ student) :https://docs.google.com/spreadsheets/d/1JxeWGjL-rG_Cz3VwHNOCHUOCrLBmEpIl/edit?usp=sharing&amp;ouid=110337177431172742636&amp;rtpof=true&amp;sd=truehttps://docs.google.com/spreadsheets/d/1JxeWGjL-rG_Cz3VwHNOCHUOCrLBmEpIl/edit?usp=sharing&amp;ouid=110337177431172742636&amp;rtpof=true&amp;sd=true Terimakasih
Akademik_Legalisir KHS/ dll DTIF,"Terimakasih telah menghubungi halo filkom, Berikut kami kirimkan link layanan akademik legalisir TIF FILKOM UBhttps://docs.google.com/forms/d/1xhgJyPQB7OosIU-A2EzqMgfLmu5QJxt6pxj5tBQiBLY/edithttps://docs.google.com/forms/d/1xhgJyPQB7OosIU-A2EzqMgfLmu5QJxt6pxj5tBQiBLY/edit Terimakasih"
Akademik; PIN,"Terima Kasih telah menghubungi halo filkom, Lulusan mulai 28-12-2020 wajib PIN , PIN adalah Penomoran Ijazah Nasional, tahap untuk pengajuan PIN harus dilakukan pelaporan lulus di PDDIKTI, kemudian akan dilakukan pengecekan data antara data di UB dengan di PDDIKTI, sementara belum bisa dilakukan pelaporan data d'karena sedang dilakukan migrasi data PDDIKTI ke server yang baru. Terimakasih"
Akademik Tidak bisa mengikuti Perkuliahan Luring/ Hybrid,"Terimakasih telah menghubungi halo filkom,Menginfokan terkait perkuliahan yg telah berjalan s.d UTS sekarang, maka jika terdapat mahasiswa dengan kelas non hyid dan berhalangan untuk mengikuti secara luring dimohon mengisi Form berikut ini sbg pendataan akademik fakultas s.d jumat 08 04 2022 :https://docs.google.com/forms/d/e/1FAIpQLSfN_-ptPujRNgvv9Up9ZnjRp64w8RqeS7_BO4XAhzl95u0HyA/viewform"" target=""_blankhttps://docs.google.com/forms/d/e/1FAIpQLSfN_-ptPujRNgvv9Up9ZnjRp64w8RqeS7_BO4XAhzl95u0HyA/viewform Terimakasih"
Akademik ; Layanan Akademik," Terimakasih telah menghubungi halo filkom,Berikut kami kirimkan link layanan akademik filkom UB : https://filkom.ub.ac.id/pendidikan/layanan-akademik/https://filkom.ub.ac.id/pendidikan/layanan-akademik/ Terimakasih "
Akademik ; Status Wisuda belum valid,"Terimakasih telah menghubungi halo filkom,Sesuai prosedur kemahasiswaan Filkom UB, mahasiswa diminta konfirmasi melalui gform pada link berikut https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"" target=""_blank https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/ Terima Kasih"
Akademik ;  Peminjaman Ijazah,"Terima Kasih telah menghubungi halo filkom,Berikut kami kirimkan link peminjaman ijazah dari akademik kantor pusat :https://ub.ac.id/id/faq/bagaimana-prosedur-peminjaman-ijazah/"" target=""_blankhttps://ub.ac.id/id/faq/bagaimana-prosedur-peminjaman-ijazah/ Terimakasih"
Akademik _ Perubahan Judul Skripsi,"Terimakasih telah menghubungi halo filkom,Perubahan Judul skripsi bisa dilakukan pada saat :- sebelum P2 bisa melalui masing masing dosen pembimbing- setelah P2 bisa langsung unggah pada kolom Judul saat akan melakukan pendaftaran Semhas- setelah ujian sidang bisa saat upload dokumen akhir Terimakasih"
Akademik ; Tidak bisa mengikuti UAS Luring dan Terpadu,"Terima Kasih telah menghubungi Halo FIlkom, Berdasar arahan panitia UAS Filkom 2021-2 Prasyarat tidak bisa mengikuti UAS Luring (Informasi ini tidak boleh disebar ke mahasiswa lain) :- Surat Keterangan Sakit dari Rumah Sakit terdekat, atau- Surat Tugas tingkat Fakultas/ Universitas, atau- Surat Keterangan Orang Tua beserta alasan (wajib materai) -&gt; jika memungkinkan akan dilaksanakan UAS Daring sesuai jadwal UAS MK tersebut Surat tersebut di atas bisa disampaikan pada tiket ini Terimakasih"
Akademik; SKL dan transkrip sementara,"Terimakasih telah menghubungi halo filkom,- Untuk permintaan SKL dimohon menghubungi WA Center Yudisium sembari kami infokan kepada operator juga- Transkrip https://bit.ly/TranskripNilaiFilkom"" target=""_blank http://bit.ly/Transkrip Nilai Fikom Terima Kasih"
Akademik Revisi Skripsi,"Terima Kasih telah menghubungi halo filkom,Mahasiswa pasca Ujian Skripsi bisa memproses :1 Pengajuan ttd dosen pembimbing Pengajuan validasi lembar pengesahan pada ketua Departemen melalui link layanan akademik Mahasiswa unggah dokumen akhir yg telah divalidasi oleh Ketua Departemen melalui filkom apps (tombol upload dokumen akhir) Terimakasih"
Keuangan - KIP K,"Sampai saat ini kami masih mengikuti Panduan KIP Kuliah dari Kemdikbud yang dapat diakses di tautan berikut https://kip-kuliah.kemdikbud.go.id/panduan"" target=""blankhttps://kip-kuliah.kemdikbud.go.id/panduan. Bahwa saat ini KIP-Kuliah dikhususkan untuk calon mahasiswa/lulusan SMA sederajat tahun berjalan atau lulus dua tahun sebelumnya. Tapi terkait hal ini juga sudah kami tanyakan ke rektorat. Data anda sudah kami simpan. Akan kami hubungi jika ada perubahan informasi/ketentuan lebih lanjut. Terima kasih  "
Akademik Layanan kemahasiswaan,Berikut kami sampaikan link layanan kemahasiswaan untuk keperluan tiap poin :https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/ Terimakasih
Akademik_Edaran Skripsi,"Terimakasih telah menghubungi halo filkom,SIlahkan menyesuaikan dengan edaran fakultas berikut :https://drive.google.com/file/d/1qpn3JLt2YWPVdZXcFa3dip792iPFXPxT/viewhttps://drive.google.com/file/d/1qpn3JLt2YWPVdZXcFa3dip792iPFXPxT/view (poin D2) danhttps://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-awijaya/https://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-awijaya/ (poin no 3) Terimakasih"
Akademik Pengajuan nilai praktikum,Berikut kami kirimkan link layanan pengajuan nilai praktikum Filkom UB :https://docs.google.com/forms/u/3/d/1xQjJhWAdUx0SrE0pvTVKyxifwK4nVx5pUNdewjZHgWk/edit?usp=drive_webhttps://docs.google.com/forms/u/3/d/1xQjJhWAdUx0SrE0pvTVKyxifwK4nVx5pUNdewjZHgWk/edit?usp=drive_web Terimakasih
Akademik_KKN 2020,"Sosialisasi : https://filkom.ub.ac.id/2022/06/23/pengumuman-jadwal-sosialisasi-danpembekalan-kkn-secara-luring-tahun-2022/"" target=""blankhttps://filkom.ub.ac.id/2022/06/23/pengumuman-jadwal-sosialisasi-dan pembekalan-kkn-secara-luring-tahun-2022/ Tata tertib : https://kkn-filkom.ub.ac.id/article/tata-tertib-pembekalan-kkn-filkom-2022"" target=""_blankhttps://kkn-filkom.ub.ac.id/article/tata-tertib-pembekalan-kkn-filkom-2022 Terimakasih"
Akademik Pendaftaran seminar hasil/ ujian skripsi FIlkom UB,"Terima Kasih telah menghubungi halo filkom, Pendaftaran Semhas/ Ujian skripsi FIlkom UB :1 wajib mendaftar pada akun filkom apps masing masing2 wajib submit Form layanan akademik poin 15 (cek deskripsi Form) perihal semhas https://filkom.ub.ac.id/pendidikan/layanan-akademik/https://filkom.ub.ac.id/pendidikan/layanan-akademik/ Terimakasih"
Akademik Nilai PKM - KKN,"wa'alaikumussalam Sekedar menginformasikan bahwa nilai Anda adalah B (3.0)Dikarenakan pada semester 2021-2 Anda sudah menempuh 21 sks sedangkan sks MK PKM (KKN) adalah 4 sks, maka Anda bisa entry KRS PKM pada semester berikutnya Terimakasih"
PSIK : Permasalahan telah diproses (Tiket ditutup),Tiket kami tutup karena permasalahan telah terselesaikan. Terima kasih telah menghubungi Halo FILKOM
Akademik Nilai MBKM belum keluar 2021-2,"Selamat Pagi,Bagi mahasiswa yang pada semester genap 2021/2022 lalu juga mengikuti kegiatan MBKM maka nilai IPK yang tertera pada sistem dikti adalah nol. Hal ini dikarenakan Evaluasi Akhir Semester (EAS) belum dilaksanakan sehingga nilai belum bisa diinputkan."
Akademik Perpanjangan skripsi,"Selamat siang Evaluasi Akhir Semester bagi mahasiswa yang memprogram skripsi adalah sebagai berikut (mengacu pada edaran Dekan No 5582/UN10.F15/PP/2020) : Mahasiswa yang telah melakukan Pendaftaran Seminar Hasil tetapi belum melakukan Seminar Hasil dan Sidang Skripsi maka dapat diberikan perpanjangan secara otomatis pada Semester berikutnya Mahasiswa yang telah menyelesaikan Progres P2 (dengan nilai &gt;= 75) maka dapat diberikan perpanjangan 1 semester secara otomatis pada Semester berikutnya, jika sebelumnya belum mendapatkan perpanjangan Mahasiswa yang telah menyelesaikan Progres P1 (dengan nilai &gt;= 75) maka dapat diberikan perpanjangan 1 semester pada Semester berikutnya, jika mendapatkan persetujuan dari pembimbing skripsi secara manual (pembimbing memberikan persetujuan melalui FILKOM Apps pada periode Evaluasi Akhir Semester)Mahasiswa yang belum menyelesaikan Progres P1 dan atau tidak memenuhi sesuai ketentuan 1 sampai 3 maka dinyatakan Gagal dan harus mengulang proses pengerjaan skripsi dari awal (pra-proposal). Evaluasi Akhir Semester akan dilaksanakan pada batas akhir Semester Aktif Terima kasih"
Akademik; Perpanjangan Masa Studi Filkom 2022/ 2023 Ganjil,"Terima Kasih telah menghubungi halo filkom, Mahasiswa bisa segera mengisi Form perpanjangan berikut :https://docs.google.com/forms/d/1ESYZRIjLZJAHMxWCZgJQsiiT0uODi8RM_UVvoqdfVSI/edithttps://docs.google.com/forms/d/1ESYZRIjLZJAHMxWCZgJQsiiT0uODi8RM_UVvoqdfVSI/ Terimakasih"
Akademik Alur Pasca Ujian Skripsi,Panduan mahasiswa telah lulus Ujian Skripsi ;1 Mahasiswa melakukan revisi sesuai arahan dari dosen majlis Ujian Skripsi serta permintaan ttd Lembar Pengesahan kpd Pembimbing Mahasiswa mengajukan validasi Lembar Pengesahan kpd Departemen melalui link layanan akademik poin no 21(filkom apps gt;pendidikan &gt;layanan akademik)3 Mahasiswa upload dokumen akhir pada tombol yg tertera pada filkom apps masing masing 4 Mahasiswa melakukan pendaftaran yudisium pada filkom apps masing masing 5 Mahasiswa konfirmasi ke WA center yudisium (081132007577) jika status filkom apps sudah penjadwalan yudisium agar dimasukkan ke dalam grup WAG yudisium periode yang ada 6 Operator yudisium akan konfirmasi terkait draft transkrip kpd mahasiswa (pernyataan mahasiswa) 7 Nilai dientri oleh petugas yudisium (mohon konfirmasi ke WA center yudisium secara berkala jika poin no 6 sudah terlaksana)8 Mahasiswa unggah kelengkapan yudisium dan wisuda pada SIAM jika nomor 7 sudah terlaksana Terimakasih
Akademik_Mhs Kritis Ujian sblm 21-07-2022 Yudisium,"Terimakasih telah menghubungi HaloFilkom,-Bagi mahasiswa kritis (2014 &amp; 2015) yang telah habis masa studi dan telah melaksanakan Ujian Skripsi s.d batas yang telah ditentukan oleh Fakultas pada periode 2021-Genap ini, maka secara otomatis diikutkan peserta Yudisium pada periode SK 2021-Genap menyesuaikan dengan edaran dekan https://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-awijaya/https://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-awijaya/-Mahasiswa tetap diwajibkan pengajuan pembebasan UKT pada ticket HaloFilkom perihal Keuangan sebagai antisipasi keluarnya tagihan secara mendadak (Jika tagihan by system TIK Pusat (2022-Ganjil) muncul lebih awal saat masa transisi semester, SK Internal Fakultas akan diajukan kepada bagian keuangan untuk pembebasan UKT mhs pada smt berikutnya 2022-Ganjil)-Mahasiswa tetap diwajibkan memproses persyaratan yudisium dan wisuda segera mungkin pada akun filkom apps dan SIAM masing masing untuk membantu proses berikutnya (penerbitan SKL dll)-Mahasiswa yang belum menyelesaikan berkas kelengkapan yudisium (filkom apps &amp; SIAM) tidak bisa menerima berkas SKL maupun Ijazah/ Tranksrip Terimakasih"
Akademik Ujian Skripsi 2021-2 ; Pendaftaran yudisium NON KRITIS 2021-2 (2022-1),"Terima Kasih telah menghubungi halo filkom, Bagi mahasiswa yang telah melaksanakan ujian skripsi melebihi tanggal 21 Juli 2022 tidak diakui sebagai pendaftar yudisium periode 2021-Genap (sesuai edaran dekan), untuk progres berikutnya mahasiswa :- Memastikan perihal UKT di periode berikutnya (2022-Ganjil) dengan cara mengisi tiket baru perihal/ help topic : keuangan(angsuran, penundaan, dll)- Set KRS Skripsi pada smt 2022- Ganjil- Segera melakukan pendaftaran yudisium pada Filkom Apps dan SIAM Terimakasih"
Akademik_templates DTIF,"Terima Kasih telah menghubungi halo filkom,Berikut kami kirimkan link layanan akademik terkait template DRIFT (PKL, Skripsi dll) ; https://s.ub.ac.id/templates-jtifhttps://s.ub.ac.id/templates-jtif Terimakasih"
"Akademik Validasi Wisuda Kemahasiswaan (Jurnal, TOEFL, TI)",Mohon mahasiswa bisa mengisi &amp; menyesuaikan dengan Form Layanan Kemahasiswaan ;https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/ (validasi data wisuda) Terimakasih
